p,q,theta,mu,rhoA0,rhoA,rhoB,rho
100,1500,0.4,0.025,0.07500000000000001,0.07500089510349346,5.807592443734828e-17,0.03750044755174676
100,1500,0.4,0.025,0.1,0.10001177481201634,1.7770714866716418e-16,0.05000588740600826
100,1500,0.4,0.025,0.125,0.12508661926134879,4.570718614168072e-16,0.06254330963067462
100,1500,0.4,0.025,0.15000000000000002,0.1504346177791585,1.0491930549002807e-15,0.07521730888957978
100,1500,0.4,0.025,0.17500000000000002,0.17669326948720268,2.2530680529543386e-15,0.08834663474360246
100,1500,0.4,0.025,0.2,0.20578959737732982,4.816052536282451e-15,0.10289479868866733
100,1500,0.4,0.025,0.225,0.24965136056088577,1.3277843259620067e-14,0.12482568028044952
100,1500,0.4,0.025,0.25,0.9999999999999992,1.1520667585259458e-10,0.5000000000576029
100,1500,0.4,0.025,0.275,0.9999999999999992,1.1520667675665898e-10,0.5000000000576029
100,1500,0.4,0.025,0.30000000000000004,0.9999999999999993,1.1520667625549476e-10,0.500000000057603
100,1500,0.4,0.025,0.325,0.9999999999999993,1.1520667733282435e-10,0.500000000057603
100,1500,0.4,0.025,0.35000000000000003,0.9999999999999993,1.152066753446672e-10,0.500000000057603
100,1500,0.4,0.025,0.375,0.9999999999999993,1.1520667695222635e-10,0.500000000057603
100,1500,0.4,0.025,0.4,0.9999999999999994,1.1520667730115951e-10,0.500000000057603
100,1500,0.4,0.025,0.42500000000000004,0.9999999999999994,1.1520667733253115e-10,0.500000000057603
100,1500,0.4,0.025,0.45,0.9999999999999996,1.152057935187084e-10,0.5000000000576027
100,1500,0.4,0.025,0.47500000000000003,0.9999999999999993,1.1520666079576527e-10,0.500000000057603
100,1500,0.4,0.025,0.5,0.9999999999999996,1.1520667524102629e-10,0.5000000000576031
100,1500,0.4,0.025,0.525,0.9999999999999996,1.1520667604118564e-10,0.5000000000576031
100,1500,0.4,0.025,0.55,0.9999999999999996,1.1520667652944674e-10,0.5000000000576031
100,1500,0.4,0.025,0.5750000000000001,0.9999999999999996,1.1520667687488027e-10,0.5000000000576031
